GeneEns	X48C_COUNT	X48N_COUNT
__alignment_not_unique	5015043	5681202
__ambiguous	3689169	4444355
__no_feature	9667769	8228576
__not_aligned	722637	487285
__too_low_aQual	697135	677709
ENSG00000000003	467	710
ENSG00000000005	3	6
ENSG00000000419	352	466
ENSG00000000457	261	317
ENSG00000000460	133	113
ENSG00000000938	273	78
ENSG00000000971	187	232
ENSG00000001036	470	691
ENSG00000001084	359	487
ENSG00000001167	449	435
ENSG00000001460	98	164
ENSG00000001461	489	702
ENSG00000001497	405	433
ENSG00000001561	307	514
ENSG00000001617	204	269
ENSG00000001626	3548	3858
ENSG00000001629	930	912
ENSG00000001630	155	360
ENSG00000001631	371	260
ENSG00000002016	306	221
ENSG00000002079	26	13
ENSG00000002330	60	99
ENSG00000002549	1238	1154
ENSG00000002586	489	971
ENSG00000002587	125	75
ENSG00000002726	1377	2929
ENSG00000002745	32	7
ENSG00000002746	116	30
ENSG00000002822	71	31
ENSG00000002834	1796	3186
ENSG00000002919	208	245
ENSG00000002933	911	821
ENSG00000003056	940	1093
ENSG00000003096	58	77
ENSG00000003137	29	81
ENSG00000003147	380	384
ENSG00000003249	57	9
ENSG00000003393	502	463
ENSG00000003400	1040	1170
ENSG00000003402	2800	2912
ENSG00000003436	261	264
ENSG00000003509	162	141
ENSG00000003756	1283	1086
ENSG00000003987	39	47
ENSG00000003989	113	214
ENSG00000004059	440	787
ENSG00000004139	145	132
ENSG00000004142	859	1154
ENSG00000004399	1175	668
ENSG00000004455	1638	2289
ENSG00000004468	321	377
ENSG00000004478	980	1172
ENSG00000004487	1197	1281
ENSG00000004534	1643	1337
ENSG00000004660	316	164
ENSG00000004700	277	263
ENSG00000004766	418	653
ENSG00000004776	14	39
ENSG00000004777	61	53
ENSG00000004779	512	937
ENSG00000004799	202	478
ENSG00000004809	10	1
ENSG00000004838	20	17
ENSG00000004846	21	5
ENSG00000004848	6	8
ENSG00000004864	423	589
ENSG00000004866	164	141
ENSG00000004897	678	729
ENSG00000004939	12	15
ENSG00000004948	6	2
ENSG00000004961	160	312
ENSG00000004975	300	354
ENSG00000005001	23	2
ENSG00000005007	1764	1760
ENSG00000005020	475	720
ENSG00000005022	1323	4662
ENSG00000005059	268	227
ENSG00000005073	35	37
ENSG00000005075	138	224
ENSG00000005100	383	334
ENSG00000005102	36	44
ENSG00000005108	165	120
ENSG00000005156	588	768
ENSG00000005175	260	233
ENSG00000005187	184	222
ENSG00000005189	90	95
ENSG00000005194	398	504
ENSG00000005206	635	553
ENSG00000005238	248	533
ENSG00000005243	67	45
ENSG00000005249	101	220
ENSG00000005302	443	390
ENSG00000005339	1644	1428
ENSG00000005379	315	272
ENSG00000005381	10	6
ENSG00000005421	19	7
ENSG00000005436	182	200
ENSG00000005448	61	86
ENSG00000005469	183	190
ENSG00000005471	68	30
ENSG00000005483	1418	1842
ENSG00000005486	358	391
ENSG00000005513	22	21
ENSG00000005700	72	7
ENSG00000005801	731	515
ENSG00000005810	3076	2637
ENSG00000005812	249	480
ENSG00000005844	602	470
ENSG00000005882	133	131
ENSG00000005884	1458	1571
ENSG00000005889	844	1154
ENSG00000005893	955	1238
ENSG00000005961	17	14
ENSG00000005981	1	2
ENSG00000006007	801	1416
ENSG00000006015	445	449
ENSG00000006016	21	7
ENSG00000006025	431	617
ENSG00000006042	354	1076
ENSG00000006047	0	8
ENSG00000006059	0	0
ENSG00000006062	318	331
ENSG00000006071	40	48
ENSG00000006116	2	5
ENSG00000006118	526	150
ENSG00000006125	2710	3660
ENSG00000006128	17	10
ENSG00000006194	472	410
ENSG00000006210	159	162
ENSG00000006282	770	761
ENSG00000006283	21	34
ENSG00000006327	275	222
ENSG00000006377	16	7
ENSG00000006432	330	368
ENSG00000006451	354	587
ENSG00000006453	862	958
ENSG00000006459	1410	1838
ENSG00000006468	64	84
ENSG00000006530	155	128
ENSG00000006534	236	277
ENSG00000006555	243	607
ENSG00000006576	420	323
ENSG00000006606	6	3
ENSG00000006607	1391	1935
ENSG00000006611	844	1783
ENSG00000006625	152	205
ENSG00000006634	229	211
ENSG00000006638	13	27
ENSG00000006652	141	264
ENSG00000006659	2	0
ENSG00000006695	356	518
ENSG00000006704	427	151
ENSG00000006712	323	373
ENSG00000006715	815	1000
ENSG00000006740	423	672
ENSG00000006744	926	858
ENSG00000006747	149	730
ENSG00000006756	1203	1457
ENSG00000006757	103	181
ENSG00000006788	27	12
ENSG00000006831	17	33
ENSG00000006837	10	11
ENSG00000007001	9	4
ENSG00000007038	14	21
ENSG00000007047	170	115
ENSG00000007062	737	1113
ENSG00000007080	173	197
ENSG00000007129	3	2
ENSG00000007168	1345	1770
ENSG00000007171	574	775
ENSG00000007174	39	29
ENSG00000007202	2347	2598
ENSG00000007216	79	153
ENSG00000007237	629	696
ENSG00000007255	82	165
ENSG00000007264	47	95
ENSG00000007306	1660	4765
ENSG00000007312	89	66
ENSG00000007314	11	16
ENSG00000007341	277	228
ENSG00000007350	7	5
ENSG00000007372	27	36
ENSG00000007376	243	199
ENSG00000007384	269	276
ENSG00000007392	737	711
ENSG00000007402	55	68
ENSG00000007516	90	134
ENSG00000007520	253	309
ENSG00000007541	320	262
ENSG00000007545	170	189
ENSG00000007866	352	374
ENSG00000007908	704	42
ENSG00000007923	825	1048
ENSG00000007933	14	13
ENSG00000007944	314	259
ENSG00000007952	875	1812
ENSG00000007968	0	0
ENSG00000008018	830	1438
ENSG00000008056	11	5
ENSG00000008083	459	533
ENSG00000008086	247	203
ENSG00000008118	8	24
ENSG00000008128	18	25
ENSG00000008130	969	1204
ENSG00000008196	3	1
ENSG00000008197	4	1
ENSG00000008226	53	106
ENSG00000008256	359	317
ENSG00000008277	421	298
ENSG00000008282	738	787
ENSG00000008283	769	1130
ENSG00000008294	1502	2311
ENSG00000008300	99	86
ENSG00000008311	387	220
ENSG00000008323	302	875
ENSG00000008324	80	122
ENSG00000008382	98	124
ENSG00000008394	389	743
ENSG00000008405	249	385
ENSG00000008438	20	8
ENSG00000008441	368	431
ENSG00000008513	548	607
ENSG00000008516	88	52
ENSG00000008517	677	623
