	logFC	logCPM	PValue	FDR
CST1	-3.24507362151774	6.66395737449868	1.54975166349953e-06	0.0116606401447238
MMP3	-2.39791783216215	6.99959788104071	1.6361845527654e-06	0.0116606401447238
MMP1	-2.08289711412658	7.15675520811431	2.03786091309399e-06	0.0116606401447238
REG1B	-2.63733730957261	6.86254860223898	3.87920000320998e-06	0.0166475868137756
MMP7	-3.30935306881792	6.58597705156915	1.09674190228443e-05	0.0376533429892291
REG1A	-1.63937835994648	7.37215075193393	1.40748675622249e-05	0.0402681960955254
CXCL5	-2.50782352485188	6.78511903039373	1.9301618212357e-05	0.0473330826047601
INHBA	-2.71708423019701	6.7094611315474	2.74409915916629e-05	0.0588815077078106
IL8	-1.74920176086532	7.18672721485878	3.30549985823355e-05	0.061595961764204
CDH3	-2.82789919488974	6.61687500893355	3.58825362718187e-05	0.061595961764204
OTOP2	2.99882978386184	6.53393801190886	4.00548051907877e-05	0.0625073441731875
COL11A1	-3.00780610313615	6.47603623471941	0.000144959871395231	0.191413934797733
KRT23	-2.75808172325257	6.4945981562893	0.000144959871395231	0.191413934797733
CLDN2	-2.29761802420253	6.65173132295221	0.000156523929221839	0.191920697787292
BEST4	2.28872332748609	6.71969621455584	0.000179993857997396	0.197034578316072
C7	1.85838927769629	6.88876387125098	0.000191080309147312	0.197034578316072
CA7	2.11066383705078	6.82567482946512	0.000195129199078016	0.197034578316072
ENSG00000260577.1	-2.77848267275067	6.53436872856403	0.000221254832436204	0.211003358533326
CLDN1	-2.27513484883104	6.69130864758802	0.000310753067493019	0.2649032086807
ETV4	-2.18963425314433	6.69447707147174	0.000310753067493019	0.2649032086807
GCG	1.86357065322384	6.82007216222613	0.000324068937568141	0.2649032086807
FOXQ1	-2.33452676311269	6.6038013921403	0.000488286556418152	0.374987948187587
TRIM29	-2.16767955537905	6.66622246434025	0.000533527719537166	0.374987948187587
AQP8	1.45077692496875	7.16897227168534	0.000535449653233213	0.374987948187587
CHI3L1	-1.98230337582621	6.74458117468925	0.000546120162221232	0.374987948187587
GUCA2B	1.57646547982828	7.0120371235339	0.000606119061154115	0.400178453991213
ADH1B	1.53496249973924	7.07129479780417	0.00071728577056997	0.456034353244596
TMIGD1	1.66237351820878	6.90519093410654	0.000752909857280585	0.461587521788519
DPT	1.51121514938841	7.03016276969795	0.000824099309445365	0.487809956756522
OSM	-2.11061143031666	6.6486325970384	0.000910530503084225	0.49052866517345
SFRP1	2.08674959819731	6.63860265228925	0.000910530503084225	0.49052866517345
CA1	1.23232576463763	7.37495844674583	0.000914419042616241	0.49052866517345
TCN1	-3.01022249117519	6.40756200299681	0.000976568540559612	0.493052222566068
ESM1	-2.94000884506041	6.38686142981973	0.000976568540559612	0.493052222566068
CTHRC1	-1.71499440478688	6.85475215417919	0.00119326136286579	0.568986793193171
